ResponseId,Employment
1,"Employed, full-time"
2,"Employed, full-time"
3,"Employed, full-time"
4,"Employed, full-time"
5,"Student, full-time"
6,"Student, part-time"
7,"Not employed, but looking for work"
8,"Employed, full-time"
9,"Independent contractor, freelancer, or self-employed"
10,"Employed, full-time"
11,"Employed, full-time"
11,"Independent contractor, freelancer, or self-employed"
12,"Employed, full-time"
13,"Employed, part-time"
14,"Employed, full-time"
14,"Independent contractor, freelancer, or self-employed"
15,"Independent contractor, freelancer, or self-employed"
16,"Employed, full-time"
17,"Employed, full-time"
18,"Employed, full-time"
19,"Student, full-time"
20,"Employed, part-time"
20,"Student, part-time"
21,"Employed, full-time"
22,"Employed, full-time"
23,"Employed, full-time"
24,"Independent contractor, freelancer, or self-employed"
25,"Employed, full-time"
26,"Employed, full-time"
27,"Not employed, and not looking for work"
28,"Employed, full-time"
29,"Employed, full-time"
29,"Independent contractor, freelancer, or self-employed"
31,"Employed, full-time"
32,"Employed, part-time"
32,"Student, full-time"
33,"Employed, part-time"
33,"Student, part-time"
34,"Independent contractor, freelancer, or self-employed"
35,"Student, full-time"
36,"Employed, full-time"
37,"Independent contractor, freelancer, or self-employed"
38,"Student, full-time"
39,"Employed, full-time"
40,"Employed, full-time"
41,"Employed, full-time"
42,"Not employed, but looking for work"
43,"Employed, full-time"
43,"Student, part-time"
44,"Student, full-time"
45,"Employed, full-time"
46,"Student, full-time"
47,"Employed, full-time"
48,"Employed, full-time"
49,"Employed, full-time"
50,"Employed, full-time"
50,"Student, full-time"
51,"Employed, full-time"
52,"Employed, part-time"
52,"Student, full-time"
53,"Employed, full-time"
54,"Employed, full-time"
55,"Employed, full-time"
56,"Employed, full-time"
57,"Employed, full-time"
58,"Employed, full-time"
59,"Employed, full-time"
60,"Employed, full-time"
61,"Independent contractor, freelancer, or self-employed"
61,"Student, part-time"
62,"Employed, full-time"
63,"Employed, full-time"
64,"Student, full-time"
65,"Employed, full-time"
66,"Employed, full-time"
67,"Not employed, but looking for work"
68,"Independent contractor, freelancer, or self-employed"
68,"Student, part-time"
69,"Employed, full-time"
70,"Employed, full-time"
71,"Employed, part-time"
71,"Student, full-time"
72,"Employed, full-time"
73,"Employed, full-time"
74,"Employed, full-time"
75,"Employed, part-time"
75,"Student, part-time"
76,"Employed, full-time"
77,Retired
78,"Employed, full-time"
79,"Employed, full-time"
80,"Independent contractor, freelancer, or self-employed"
81,"Employed, full-time"
82,"Student, full-time"
83,"Employed, full-time"
84,"Employed, full-time"
85,"Employed, full-time"
87,"Employed, full-time"
88,"Employed, full-time"
89,"Employed, full-time"
90,"Employed, full-time"
91,"Employed, full-time"
92,"Employed, full-time"
93,"Employed, full-time"
94,"Employed, full-time"
95,"Employed, full-time"
96,"Employed, full-time"
97,"Independent contractor, freelancer, or self-employed"
99,"Employed, full-time"
100,"Student, full-time"
101,"Employed, full-time"
101,"Independent contractor, freelancer, or self-employed"
102,"Employed, full-time"
103,"Employed, full-time"
104,"Employed, full-time"
105,"Employed, full-time"
106,"Student, full-time"
107,"Employed, full-time"
108,"Employed, full-time"
109,"Employed, full-time"
110,"Not employed, but looking for work"
110,"Student, full-time"
111,"Employed, full-time"
112,"Employed, full-time"
113,"Employed, full-time"
113,"Independent contractor, freelancer, or self-employed"
114,"Employed, full-time"
115,"Employed, full-time"
116,"Not employed, but looking for work"
117,"Employed, full-time"
117,"Independent contractor, freelancer, or self-employed"
118,"Employed, part-time"
118,"Student, full-time"
119,"Employed, full-time"
119,"Student, part-time"
120,"Employed, full-time"
121,"Employed, full-time"
122,"Employed, full-time"
122,"Independent contractor, freelancer, or self-employed"
123,"Employed, full-time"
124,"Employed, full-time"
124,"Student, full-time"
125,I prefer not to say
126,"Employed, full-time"
127,"Independent contractor, freelancer, or self-employed"
128,"Independent contractor, freelancer, or self-employed"
128,"Student, full-time"
129,"Student, full-time"
130,"Employed, full-time"
131,"Employed, full-time"
132,"Employed, full-time"
133,"Employed, full-time"
134,"Employed, full-time"
134,"Student, part-time"
135,"Employed, full-time"
137,"Employed, full-time"
138,"Employed, full-time"
139,"Employed, full-time"
140,"Employed, full-time"
141,"Employed, full-time"
142,"Employed, full-time"
143,"Employed, full-time"
143,"Independent contractor, freelancer, or self-employed"
144,"Employed, full-time"
145,"Employed, full-time"
147,"Employed, full-time"
148,"Employed, full-time"
149,"Not employed, and not looking for work"
150,"Employed, full-time"
151,"Employed, full-time"
152,"Employed, full-time"
153,"Employed, full-time"
154,"Employed, full-time"
155,"Employed, full-time"
156,"Employed, full-time"
157,"Employed, full-time"
158,"Employed, full-time"
159,"Employed, full-time"
160,"Employed, full-time"
161,"Employed, full-time"
162,"Employed, full-time"
163,"Employed, full-time"
164,"Employed, full-time"
165,"Employed, full-time"
166,"Student, full-time"
167,"Employed, full-time"
168,"Employed, part-time"
168,"Student, full-time"
169,"Independent contractor, freelancer, or self-employed"
170,"Employed, full-time"
171,"Employed, full-time"
172,"Employed, full-time"
173,"Not employed, and not looking for work"
174,"Student, full-time"
175,"Employed, full-time"
176,"Student, full-time"
177,"Employed, full-time"
178,"Employed, full-time"
179,"Employed, full-time"
180,"Employed, full-time"
181,"Employed, full-time"
182,"Employed, full-time"
183,"Employed, full-time"
184,"Employed, full-time"
185,"Employed, full-time"
186,"Employed, full-time"
187,"Independent contractor, freelancer, or self-employed"
188,"Employed, full-time"
189,"Employed, full-time"
191,"Employed, full-time"
192,"Employed, full-time"
193,"Employed, full-time"
194,"Employed, full-time"
195,"Employed, full-time"
196,"Employed, full-time"
197,"Not employed, and not looking for work"
197,"Student, full-time"
198,"Employed, full-time"
199,Retired
200,"Employed, full-time"
201,"Employed, full-time"
202,"Employed, full-time"
202,"Independent contractor, freelancer, or self-employed"
203,"Employed, full-time"
204,"Employed, full-time"
205,"Employed, full-time"
206,"Employed, full-time"
207,"Employed, full-time"
208,"Employed, full-time"
208,"Independent contractor, freelancer, or self-employed"
209,"Employed, full-time"
210,"Employed, full-time"
211,"Employed, part-time"
212,"Employed, full-time"
213,"Independent contractor, freelancer, or self-employed"
214,"Employed, full-time"
215,"Employed, full-time"
216,"Student, full-time"
217,"Employed, full-time"
218,"Employed, full-time"
219,"Employed, full-time"
220,"Employed, full-time"
221,"Employed, full-time"
222,"Employed, full-time"
223,"Employed, full-time"
224,"Employed, full-time"
225,"Employed, full-time"
226,"Employed, full-time"
227,"Student, full-time"
228,"Employed, full-time"
229,"Employed, full-time"
231,"Employed, part-time"
231,"Student, full-time"
232,"Employed, full-time"
233,"Employed, full-time"
234,"Employed, full-time"
235,"Employed, full-time"
236,"Employed, full-time"
237,"Employed, full-time"
238,"Employed, full-time"
239,"Employed, full-time"
240,"Employed, full-time"
241,"Employed, full-time"
242,"Employed, full-time"
243,"Employed, full-time"
244,"Employed, full-time"
245,"Employed, full-time"
246,"Employed, full-time"
247,"Employed, full-time"
248,"Employed, full-time"
249,"Independent contractor, freelancer, or self-employed"
249,"Not employed, but looking for work"
250,"Independent contractor, freelancer, or self-employed"
251,"Employed, full-time"
252,"Independent contractor, freelancer, or self-employed"
252,"Student, full-time"
253,"Employed, full-time"
254,"Employed, full-time"
255,"Employed, full-time"
256,"Employed, full-time"
257,"Independent contractor, freelancer, or self-employed"
258,"Employed, full-time"
259,"Employed, full-time"
260,"Employed, full-time"
261,"Employed, full-time"
262,"Employed, full-time"
263,"Employed, full-time"
264,"Employed, full-time"
265,"Not employed, but looking for work"
266,"Employed, full-time"
267,"Employed, full-time"
268,"Employed, part-time"
269,"Employed, full-time"
270,"Employed, part-time"
270,"Student, part-time"
271,"Employed, full-time"
272,"Employed, full-time"
273,"Employed, full-time"
274,"Employed, full-time"
274,"Independent contractor, freelancer, or self-employed"
275,"Employed, full-time"
276,"Employed, full-time"
277,"Employed, full-time"
278,"Employed, full-time"
279,"Employed, full-time"
280,"Employed, full-time"
281,"Employed, full-time"
282,"Employed, full-time"
283,"Employed, full-time"
284,"Employed, full-time"
284,"Independent contractor, freelancer, or self-employed"
285,"Employed, full-time"
286,"Employed, full-time"
287,"Employed, full-time"
288,"Employed, full-time"
289,"Employed, part-time"
289,"Student, full-time"
290,"Employed, full-time"
291,"Employed, full-time"
292,"Employed, full-time"
293,"Employed, part-time"
293,"Student, full-time"
294,"Employed, full-time"
295,"Not employed, but looking for work"
296,"Employed, full-time"
297,"Employed, full-time"
298,"Employed, full-time"
299,"Employed, full-time"
300,"Employed, full-time"
301,"Employed, full-time"
302,"Employed, full-time"
303,"Employed, full-time"
304,"Employed, full-time"
305,"Employed, full-time"
306,"Student, full-time"
307,"Employed, full-time"
308,"Employed, full-time"
309,"Employed, part-time"
309,"Student, full-time"
310,"Employed, part-time"
310,"Student, part-time"
311,"Employed, full-time"
312,"Employed, full-time"
313,"Employed, full-time"
314,I prefer not to say
315,"Employed, full-time"
316,"Employed, full-time"
317,"Employed, full-time"
318,"Employed, full-time"
319,"Independent contractor, freelancer, or self-employed"
320,"Employed, full-time"
321,"Employed, full-time"
321,"Student, full-time"
322,"Employed, full-time"
323,"Employed, full-time"
324,"Employed, full-time"
325,"Employed, full-time"
326,"Employed, full-time"
327,"Employed, full-time"
328,"Employed, full-time"
329,"Employed, full-time"
329,"Student, full-time"
330,"Employed, full-time"
331,"Employed, full-time"
332,"Student, full-time"
333,"Employed, full-time"
334,"Employed, full-time"
335,"Employed, full-time"
336,"Employed, full-time"
336,"Student, full-time"
337,"Employed, full-time"
338,"Employed, full-time"
339,"Employed, part-time"
339,"Student, full-time"
340,"Employed, full-time"
341,"Independent contractor, freelancer, or self-employed"
342,"Employed, full-time"
343,"Employed, full-time"
344,"Employed, full-time"
345,"Employed, full-time"
346,"Employed, full-time"
347,"Employed, full-time"
348,"Employed, full-time"
349,"Employed, full-time"
350,"Student, full-time"
351,"Employed, full-time"
352,"Employed, part-time"
353,"Employed, full-time"
354,"Employed, full-time"
355,"Student, part-time"
356,"Employed, full-time"
357,"Employed, full-time"
358,"Employed, full-time"
359,"Employed, full-time"
360,"Employed, full-time"
361,"Employed, full-time"
362,"Employed, full-time"
363,"Employed, full-time"
364,"Employed, full-time"
365,"Employed, full-time"
365,"Independent contractor, freelancer, or self-employed"
366,"Employed, full-time"
367,"Employed, full-time"
368,"Employed, full-time"
369,"Student, full-time"
370,"Employed, full-time"
371,"Employed, full-time"
372,"Employed, full-time"
373,"Employed, full-time"
374,"Employed, full-time"
375,"Employed, full-time"
376,"Employed, full-time"
376,"Independent contractor, freelancer, or self-employed"
376,"Student, part-time"
377,"Not employed, and not looking for work"
377,"Student, full-time"
378,"Employed, full-time"
379,"Independent contractor, freelancer, or self-employed"
380,"Employed, full-time"
380,"Student, full-time"
381,"Employed, full-time"
382,"Employed, full-time"
383,"Employed, full-time"
384,"Not employed, and not looking for work"
385,"Employed, full-time"
386,"Employed, full-time"
387,"Employed, full-time"
388,"Employed, full-time"
389,"Employed, full-time"
390,"Employed, full-time"
391,"Employed, full-time"
392,"Employed, full-time"
393,"Employed, full-time"
394,"Employed, full-time"
395,"Independent contractor, freelancer, or self-employed"
396,"Employed, part-time"
396,"Independent contractor, freelancer, or self-employed"
397,"Employed, full-time"
398,"Independent contractor, freelancer, or self-employed"
399,"Employed, full-time"
399,"Independent contractor, freelancer, or self-employed"
400,"Employed, full-time"
401,"Employed, full-time"
402,"Employed, full-time"
403,"Employed, full-time"
404,"Employed, full-time"
405,"Employed, full-time"
406,"Employed, full-time"
407,"Employed, full-time"
407,"Student, part-time"
408,"Employed, full-time"
408,"Independent contractor, freelancer, or self-employed"
409,"Employed, full-time"
409,"Student, part-time"
410,"Employed, full-time"
411,"Employed, full-time"
412,"Independent contractor, freelancer, or self-employed"
413,"Employed, full-time"
414,"Employed, full-time"
415,"Student, full-time"
416,"Employed, part-time"
416,"Independent contractor, freelancer, or self-employed"
416,"Student, part-time"
417,"Employed, full-time"
418,"Student, full-time"
419,"Employed, full-time"
420,"Student, full-time"
421,"Employed, full-time"
422,"Employed, full-time"
423,"Independent contractor, freelancer, or self-employed"
424,"Employed, full-time"
425,"Student, full-time"
426,"Employed, full-time"
427,"Employed, full-time"
428,"Student, full-time"
429,"Employed, full-time"
430,"Independent contractor, freelancer, or self-employed"
431,"Employed, full-time"
432,"Employed, full-time"
433,"Independent contractor, freelancer, or self-employed"
434,"Student, full-time"
435,"Employed, full-time"
436,"Employed, full-time"
437,"Not employed, but looking for work"
437,"Student, full-time"
438,"Independent contractor, freelancer, or self-employed"
439,"Employed, full-time"
440,"Employed, full-time"
441,"Employed, full-time"
442,"Independent contractor, freelancer, or self-employed"
443,"Employed, full-time"
444,"Student, full-time"
445,"Employed, full-time"
446,"Employed, full-time"
447,"Employed, full-time"
448,"Employed, full-time"
449,"Employed, full-time"
449,"Independent contractor, freelancer, or self-employed"
450,"Student, full-time"
451,I prefer not to say
452,"Student, full-time"
453,"Employed, full-time"
453,"Independent contractor, freelancer, or self-employed"
454,"Employed, full-time"
455,"Employed, full-time"
456,"Not employed, but looking for work"
457,"Student, part-time"
458,"Employed, full-time"
459,"Employed, full-time"
459,"Independent contractor, freelancer, or self-employed"
460,"Employed, full-time"
461,"Not employed, but looking for work"
461,"Student, full-time"
462,"Employed, full-time"
462,"Independent contractor, freelancer, or self-employed"
463,"Employed, full-time"
464,"Employed, full-time"
465,"Employed, full-time"
466,"Employed, full-time"
467,"Employed, full-time"
468,"Employed, full-time"
469,"Employed, full-time"
470,"Employed, full-time"
471,"Employed, part-time"
471,"Student, full-time"
472,"Employed, full-time"
472,"Student, part-time"
473,"Employed, full-time"
474,"Employed, full-time"
475,"Employed, full-time"
476,"Student, full-time"
477,"Student, full-time"
478,"Employed, part-time"
479,"Independent contractor, freelancer, or self-employed"
480,"Student, full-time"
481,"Employed, full-time"
482,"Employed, full-time"
482,"Student, part-time"
483,"Employed, full-time"
484,"Employed, full-time"
485,"Employed, full-time"
486,"Employed, full-time"
487,"Employed, full-time"
487,"Student, full-time"
488,"Employed, full-time"
489,"Employed, part-time"
489,"Student, full-time"
490,"Employed, full-time"
491,"Employed, full-time"
491,"Independent contractor, freelancer, or self-employed"
492,"Employed, full-time"
493,"Employed, full-time"
494,"Employed, full-time"
495,"Employed, full-time"
496,"Employed, full-time"
497,"Employed, full-time"
498,"Employed, full-time"
499,"Employed, full-time"
500,"Employed, full-time"
501,"Employed, full-time"
502,"Not employed, but looking for work"
503,"Employed, part-time"
503,"Student, full-time"
504,I prefer not to say
505,"Independent contractor, freelancer, or self-employed"
506,"Student, full-time"
507,"Employed, full-time"
508,"Independent contractor, freelancer, or self-employed"
509,"Employed, full-time"
510,"Employed, full-time"
511,"Employed, part-time"
511,"Student, part-time"
512,"Employed, full-time"
513,"Employed, full-time"
513,"Student, part-time"
514,"Employed, full-time"
515,"Employed, full-time"
