MainBranch,RemoteWork,Age,SurveyYear,ResponseId
None of these,,,2022,0
I am a developer by profession,Fully remote,,2022,1
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",25-34 years old,2022,2
I am a developer by profession,Fully remote,35-44 years old,2022,3
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,4
"I am not primarily a developer, but I write code sometimes as part of my work",,25-34 years old,2022,5
I code primarily as a hobby,,Under 18 years old,2022,6
I am a developer by profession,,18-24 years old,2022,7
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,8
I am a developer by profession,Fully remote,45-54 years old,2022,9
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,10
"I am not primarily a developer, but I write code sometimes as part of my work",Fully remote,35-44 years old,2022,11
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,12
I am a developer by profession,Fully remote,35-44 years old,2022,13
I am a developer by profession,Fully remote,25-34 years old,2022,14
I am a developer by profession,Fully remote,25-34 years old,2022,15
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,16
I am a developer by profession,Fully remote,25-34 years old,2022,17
I am a developer by profession,"Hybrid (some remote, some in-person)",45-54 years old,2022,18
I am learning to code,,18-24 years old,2022,19
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,20
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,21
I am a developer by profession,Fully remote,35-44 years old,2022,22
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",25-34 years old,2022,23
I am a developer by profession,Fully remote,55-64 years old,2022,24
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,25
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,26
I am a developer by profession,,18-24 years old,2022,27
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,28
I am a developer by profession,Fully remote,45-54 years old,2022,29
None of these,,,2022,30
I am a developer by profession,Fully remote,55-64 years old,2022,31
I code primarily as a hobby,Full in-person,Under 18 years old,2022,32
"I am not primarily a developer, but I write code sometimes as part of my work",Full in-person,18-24 years old,2022,33
I am a developer by profession,Fully remote,25-34 years old,2022,34
"I am not primarily a developer, but I write code sometimes as part of my work",,25-34 years old,2022,35
I am a developer by profession,Fully remote,25-34 years old,2022,36
I am a developer by profession,Fully remote,35-44 years old,2022,37
I code primarily as a hobby,,,2022,38
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,39
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,40
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,41
I am a developer by profession,,25-34 years old,2022,42
I code primarily as a hobby,Full in-person,35-44 years old,2022,43
I am a developer by profession,,18-24 years old,2022,44
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,45
I code primarily as a hobby,,18-24 years old,2022,46
I am a developer by profession,Fully remote,25-34 years old,2022,47
I am a developer by profession,"Hybrid (some remote, some in-person)",55-64 years old,2022,48
I am a developer by profession,Fully remote,25-34 years old,2022,49
"I am not primarily a developer, but I write code sometimes as part of my work",Full in-person,25-34 years old,2022,50
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,51
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,52
I am a developer by profession,Fully remote,25-34 years old,2022,53
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,54
I am a developer by profession,Fully remote,25-34 years old,2022,55
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,56
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,57
I am a developer by profession,Full in-person,25-34 years old,2022,58
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,59
I am a developer by profession,Fully remote,25-34 years old,2022,60
I code primarily as a hobby,Fully remote,25-34 years old,2022,61
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,62
I am a developer by profession,Fully remote,35-44 years old,2022,63
I am a developer by profession,,18-24 years old,2022,64
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,65
I am a developer by profession,Full in-person,45-54 years old,2022,66
I am a developer by profession,,45-54 years old,2022,67
I am a developer by profession,Fully remote,Under 18 years old,2022,68
I am a developer by profession,Fully remote,35-44 years old,2022,69
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,70
I am a developer by profession,Fully remote,18-24 years old,2022,71
"I used to be a developer by profession, but no longer am",Fully remote,45-54 years old,2022,72
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,73
I am a developer by profession,Full in-person,35-44 years old,2022,74
I am a developer by profession,Fully remote,18-24 years old,2022,75
I am a developer by profession,Fully remote,35-44 years old,2022,76
"I used to be a developer by profession, but no longer am",,65 years or older,2022,77
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,78
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,79
I am a developer by profession,Fully remote,25-34 years old,2022,80
I am learning to code,Full in-person,35-44 years old,2022,81
I am a developer by profession,,25-34 years old,2022,82
"I am not primarily a developer, but I write code sometimes as part of my work",Fully remote,35-44 years old,2022,83
I am a developer by profession,Fully remote,25-34 years old,2022,84
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,85
None of these,,,2022,86
I am a developer by profession,Fully remote,25-34 years old,2022,87
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,88
I am a developer by profession,Full in-person,25-34 years old,2022,89
"I am not primarily a developer, but I write code sometimes as part of my work",Fully remote,25-34 years old,2022,90
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,91
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,92
I am a developer by profession,Fully remote,25-34 years old,2022,93
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,94
I am a developer by profession,Fully remote,25-34 years old,2022,95
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,96
I am a developer by profession,Fully remote,35-44 years old,2022,97
I am a developer by profession,,25-34 years old,2022,98
I am a developer by profession,Full in-person,25-34 years old,2022,99
I code primarily as a hobby,,Under 18 years old,2022,100
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,101
I am a developer by profession,Fully remote,25-34 years old,2022,102
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,103
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,104
I am a developer by profession,Fully remote,25-34 years old,2022,105
I am learning to code,,Under 18 years old,2022,106
I am a developer by profession,Full in-person,25-34 years old,2022,107
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,108
I am a developer by profession,Fully remote,25-34 years old,2022,109
I am learning to code,,Under 18 years old,2022,110
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,111
I am a developer by profession,Fully remote,35-44 years old,2022,112
I am a developer by profession,"Hybrid (some remote, some in-person)",45-54 years old,2022,113
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,114
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,115
I am a developer by profession,,35-44 years old,2022,116
I am a developer by profession,Fully remote,45-54 years old,2022,117
I am learning to code,"Hybrid (some remote, some in-person)",18-24 years old,2022,118
I am a developer by profession,Fully remote,35-44 years old,2022,119
I am a developer by profession,Fully remote,25-34 years old,2022,120
I am a developer by profession,Fully remote,25-34 years old,2022,121
I am a developer by profession,Fully remote,18-24 years old,2022,122
"I am not primarily a developer, but I write code sometimes as part of my work",Full in-person,25-34 years old,2022,123
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,124
I am a developer by profession,,18-24 years old,2022,125
I am a developer by profession,Fully remote,25-34 years old,2022,126
I am a developer by profession,Fully remote,25-34 years old,2022,127
I am a developer by profession,Full in-person,18-24 years old,2022,128
I am learning to code,,18-24 years old,2022,129
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,130
I am a developer by profession,Fully remote,45-54 years old,2022,131
I am a developer by profession,Fully remote,25-34 years old,2022,132
I am a developer by profession,Fully remote,45-54 years old,2022,133
I am a developer by profession,Fully remote,25-34 years old,2022,134
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,135
I code primarily as a hobby,,18-24 years old,2022,136
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,137
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,138
I am learning to code,Fully remote,55-64 years old,2022,139
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,140
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,141
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,142
I am a developer by profession,Fully remote,35-44 years old,2022,143
I am a developer by profession,Full in-person,18-24 years old,2022,144
I am a developer by profession,Fully remote,35-44 years old,2022,145
None of these,,,2022,146
I am a developer by profession,Fully remote,25-34 years old,2022,147
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,148
I am a developer by profession,,25-34 years old,2022,149
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,150
I am a developer by profession,Full in-person,25-34 years old,2022,151
I am a developer by profession,Full in-person,,2022,152
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,153
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",25-34 years old,2022,154
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,155
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,156
I am learning to code,Fully remote,25-34 years old,2022,157
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,158
I am a developer by profession,Fully remote,25-34 years old,2022,159
I am a developer by profession,Full in-person,25-34 years old,2022,160
I am a developer by profession,"Hybrid (some remote, some in-person)",45-54 years old,2022,161
I am learning to code,"Hybrid (some remote, some in-person)",25-34 years old,2022,162
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,163
I am a developer by profession,Fully remote,35-44 years old,2022,164
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,165
I am learning to code,,18-24 years old,2022,166
I am a developer by profession,Fully remote,25-34 years old,2022,167
I am a developer by profession,Fully remote,18-24 years old,2022,168
I am a developer by profession,Full in-person,25-34 years old,2022,169
I am a developer by profession,Fully remote,55-64 years old,2022,170
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,171
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,172
"I used to be a developer by profession, but no longer am",,18-24 years old,2022,173
I am a developer by profession,,18-24 years old,2022,174
"I used to be a developer by profession, but no longer am",Full in-person,45-54 years old,2022,175
I am a developer by profession,,18-24 years old,2022,176
"I used to be a developer by profession, but no longer am",Fully remote,25-34 years old,2022,177
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,178
I am a developer by profession,Fully remote,25-34 years old,2022,179
I am a developer by profession,Fully remote,45-54 years old,2022,180
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,181
"I am not primarily a developer, but I write code sometimes as part of my work",Fully remote,45-54 years old,2022,182
I am a developer by profession,Fully remote,25-34 years old,2022,183
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",45-54 years old,2022,184
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,185
I am a developer by profession,Fully remote,35-44 years old,2022,186
I am a developer by profession,Fully remote,65 years or older,2022,187
I am a developer by profession,Fully remote,35-44 years old,2022,188
I am a developer by profession,Fully remote,25-34 years old,2022,189
None of these,,,2022,190
I am a developer by profession,Fully remote,25-34 years old,2022,191
I am a developer by profession,Fully remote,18-24 years old,2022,192
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,193
I am a developer by profession,Fully remote,55-64 years old,2022,194
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,195
I am a developer by profession,Fully remote,25-34 years old,2022,196
I am learning to code,,18-24 years old,2022,197
I am a developer by profession,Fully remote,25-34 years old,2022,198
I am a developer by profession,,35-44 years old,2022,199
I am a developer by profession,Fully remote,45-54 years old,2022,200
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,201
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,202
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,203
I am a developer by profession,Full in-person,25-34 years old,2022,204
I am a developer by profession,Full in-person,25-34 years old,2022,205
I am a developer by profession,Fully remote,,2022,206
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,207
I am a developer by profession,Fully remote,35-44 years old,2022,208
"I used to be a developer by profession, but no longer am",Fully remote,35-44 years old,2022,209
I am a developer by profession,Fully remote,35-44 years old,2022,210
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,211
I am a developer by profession,Fully remote,18-24 years old,2022,212
I am a developer by profession,Fully remote,65 years or older,2022,213
I am a developer by profession,Full in-person,18-24 years old,2022,214
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,215
I code primarily as a hobby,,18-24 years old,2022,216
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",35-44 years old,2022,217
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",35-44 years old,2022,218
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",45-54 years old,2022,219
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",,2022,220
I am a developer by profession,Fully remote,35-44 years old,2022,221
I am a developer by profession,Fully remote,35-44 years old,2022,222
I am a developer by profession,Fully remote,18-24 years old,2022,223
I am a developer by profession,Fully remote,25-34 years old,2022,224
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,225
"I am not primarily a developer, but I write code sometimes as part of my work",Fully remote,,2022,226
I am a developer by profession,,Under 18 years old,2022,227
I am a developer by profession,Fully remote,35-44 years old,2022,228
I am a developer by profession,Fully remote,25-34 years old,2022,229
None of these,,,2022,230
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,231
"I am not primarily a developer, but I write code sometimes as part of my work",Fully remote,35-44 years old,2022,232
I am a developer by profession,Fully remote,25-34 years old,2022,233
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,234
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",45-54 years old,2022,235
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,236
I am a developer by profession,Fully remote,25-34 years old,2022,237
I am a developer by profession,"Hybrid (some remote, some in-person)",55-64 years old,2022,238
I am a developer by profession,Fully remote,65 years or older,2022,239
I am learning to code,"Hybrid (some remote, some in-person)",25-34 years old,2022,240
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",25-34 years old,2022,241
"I am not primarily a developer, but I write code sometimes as part of my work",Full in-person,25-34 years old,2022,242
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,243
"I am not primarily a developer, but I write code sometimes as part of my work",Full in-person,18-24 years old,2022,244
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",25-34 years old,2022,245
I am a developer by profession,Fully remote,25-34 years old,2022,246
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,247
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",55-64 years old,2022,248
I am learning to code,Fully remote,45-54 years old,2022,249
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,250
I am a developer by profession,Fully remote,25-34 years old,2022,251
I am a developer by profession,Full in-person,Under 18 years old,2022,252
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,253
I am a developer by profession,Fully remote,18-24 years old,2022,254
I am a developer by profession,Full in-person,35-44 years old,2022,255
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,256
I am a developer by profession,Fully remote,25-34 years old,2022,257
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,258
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,259
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,260
I am a developer by profession,Full in-person,18-24 years old,2022,261
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",18-24 years old,2022,262
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,263
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,264
I am a developer by profession,,25-34 years old,2022,265
I am a developer by profession,Fully remote,25-34 years old,2022,266
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,267
I am a developer by profession,Full in-person,25-34 years old,2022,268
I am a developer by profession,Fully remote,25-34 years old,2022,269
I am learning to code,"Hybrid (some remote, some in-person)",18-24 years old,2022,270
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,271
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,272
I am a developer by profession,"Hybrid (some remote, some in-person)",45-54 years old,2022,273
I am a developer by profession,Fully remote,35-44 years old,2022,274
I am a developer by profession,Fully remote,25-34 years old,2022,275
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,276
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,277
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,278
I am a developer by profession,Fully remote,35-44 years old,2022,279
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,280
I am a developer by profession,Fully remote,18-24 years old,2022,281
I am a developer by profession,Full in-person,18-24 years old,2022,282
"I used to be a developer by profession, but no longer am",Fully remote,25-34 years old,2022,283
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,284
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",25-34 years old,2022,285
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,286
I am a developer by profession,Fully remote,25-34 years old,2022,287
I am a developer by profession,Fully remote,25-34 years old,2022,288
I am a developer by profession,Fully remote,18-24 years old,2022,289
I am a developer by profession,Full in-person,18-24 years old,2022,290
I am a developer by profession,Fully remote,25-34 years old,2022,291
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,292
I am a developer by profession,Fully remote,25-34 years old,2022,293
I am a developer by profession,Full in-person,25-34 years old,2022,294
I am a developer by profession,,35-44 years old,2022,295
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,296
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,297
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,298
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,299
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,300
I am a developer by profession,Fully remote,18-24 years old,2022,301
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,302
"I used to be a developer by profession, but no longer am","Hybrid (some remote, some in-person)",55-64 years old,2022,303
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,304
I am a developer by profession,Fully remote,25-34 years old,2022,305
I am learning to code,,Under 18 years old,2022,306
I am a developer by profession,Fully remote,35-44 years old,2022,307
I am a developer by profession,Fully remote,25-34 years old,2022,308
I am a developer by profession,Fully remote,18-24 years old,2022,309
I am a developer by profession,Fully remote,18-24 years old,2022,310
I am a developer by profession,Full in-person,35-44 years old,2022,311
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,312
I am a developer by profession,Fully remote,35-44 years old,2022,313
I am learning to code,,Under 18 years old,2022,314
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,315
I am a developer by profession,Fully remote,25-34 years old,2022,316
I am a developer by profession,Fully remote,35-44 years old,2022,317
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,318
I code primarily as a hobby,"Hybrid (some remote, some in-person)",35-44 years old,2022,319
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",25-34 years old,2022,320
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,321
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,322
I am a developer by profession,Fully remote,45-54 years old,2022,323
I am a developer by profession,Fully remote,45-54 years old,2022,324
I am a developer by profession,Fully remote,25-34 years old,2022,325
